Complaint ID,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company,State,Submitted via,Date sent to company,Company response to consumer,Timely response?
10901411,11/22/2024,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt is not yours,,"Spring Oaks Capital, LLC",VA,Web,11/22/2024,Closed with explanation,Yes
10902059,11/22/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,"ID Analytics, Inc.",FL,Web,11/22/2024,Closed with non-monetary relief,Yes
10872982,11/20/2024,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,Experian Information Solutions Inc.,AL,Web,11/20/2024,In progress,Yes
10904048,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,CA,Web,11/23/2024,In progress,Yes
10904000,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,PR,Web,11/23/2024,In progress,Yes
10904005,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,,Experian Information Solutions Inc.,GA,Web,11/23/2024,In progress,Yes
10903634,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Unable to get your credit report or credit score,Other problem getting your report or credit score,,"CrossCheck, Inc.",TX,Web,11/23/2024,Closed with explanation,Yes
10873022,11/20/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,CA,Web,11/20/2024,In progress,Yes
10873024,11/20/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,,Experian Information Solutions Inc.,LA,Web,11/20/2024,In progress,Yes
10856497,11/20/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Experian Information Solutions Inc.,NY,Web,11/20/2024,In progress,Yes
10847806,11/19/2024,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,,"FAIR COLLECTIONS & OUTSOURCING, INC.",MD,Web,11/19/2024,In progress,Yes
10903683,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,PR,Web,11/23/2024,In progress,Yes
10903723,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Experian Information Solutions Inc.,OK,Web,11/23/2024,In progress,Yes
10903703,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Unable to get your credit report or credit score,Problem getting your free annual credit report,,"CrossCheck, Inc.",NY,Web,11/23/2024,Closed with explanation,Yes
10903704,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,,Experian Information Solutions Inc.,TX,Web,11/23/2024,In progress,Yes
10904007,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,CA,Web,11/23/2024,In progress,Yes
10903705,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Old information reappears or never goes away,,Experian Information Solutions Inc.,TX,Web,11/23/2024,In progress,Yes
10903714,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Unable to get your credit report or credit score,Problem getting your free annual credit report,,MicroBilt / PRBC (formerly CL Verify),NY,Web,11/23/2024,Closed with explanation,Yes
10904337,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,TX,Web,11/23/2024,In progress,Yes
10904351,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,Experian Information Solutions Inc.,AL,Web,11/23/2024,In progress,Yes
11092043,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AZ,Web,12/10/2024,In progress,Yes
11092045,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,Web,12/10/2024,In progress,Yes
10903709,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Experian Information Solutions Inc.,CT,Web,11/23/2024,In progress,Yes
10904352,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Experian Information Solutions Inc.,GA,Web,11/23/2024,In progress,Yes
10904356,11/23/2024,Debt collection,I do not know,Attempts to collect debt not owed,Debt was paid,,Self Financial Inc.,VT,Web,11/25/2024,Closed with explanation,Yes
10904357,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,GA,Web,11/23/2024,In progress,Yes
10904359,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Experian Information Solutions Inc.,NY,Web,11/23/2024,In progress,Yes
10904383,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,Experian Information Solutions Inc.,TN,Web,11/23/2024,In progress,Yes
10904389,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,Experian Information Solutions Inc.,NY,Web,11/23/2024,In progress,Yes
10904405,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Personal information incorrect,,CORELOGIC INC,MS,Web,11/23/2024,Closed with explanation,Yes
11092047,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,Web,12/10/2024,In progress,Yes
11092048,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,Web,12/10/2024,In progress,Yes
11092049,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,Web,12/10/2024,In progress,Yes
10903694,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Unable to get your credit report or credit score,Other problem getting your report or credit score,,"Early Warning Services, LLC",TX,Web,11/23/2024,Closed with explanation,Yes
10903718,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,NY,Web,11/23/2024,In progress,Yes
10903654,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,CA,Web,11/23/2024,In progress,Yes
10903657,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Unable to get your credit report or credit score,Problem getting your free annual credit report,,"Early Warning Services, LLC",NY,Web,11/23/2024,Closed with explanation,Yes
10904461,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,PA,Web,11/23/2024,In progress,Yes
10904564,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,AZ,Web,11/23/2024,In progress,Yes
10904567,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,NY,Web,11/23/2024,In progress,Yes
10904537,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,NJ,Web,11/23/2024,In progress,Yes
10893050,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,FL,Web,11/23/2024,In progress,Yes
10893521,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,AL,Web,11/23/2024,In progress,Yes
11092050,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,"EQUIFAX, INC.",WI,Web,12/10/2024,In progress,Yes
11092053,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,"EQUIFAX, INC.",GA,Web,12/10/2024,In progress,Yes
11092056,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,Experian Information Solutions Inc.,NY,Web,12/10/2024,In progress,Yes
10894871,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Public record information inaccurate,,LEXISNEXIS,GA,Web,11/23/2024,Closed with non-monetary relief,Yes
10859325,11/20/2024,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,,Experian Information Solutions Inc.,AZ,Web,11/20/2024,In progress,Yes
10903788,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,CT,Web,11/23/2024,In progress,Yes
10903734,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,CA,Web,11/23/2024,In progress,Yes
10893379,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Experian Information Solutions Inc.,WA,Web,11/23/2024,In progress,Yes
10893383,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Experian Information Solutions Inc.,TX,Web,11/23/2024,In progress,Yes
10892937,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,Experian Information Solutions Inc.,TX,Web,11/23/2024,In progress,Yes
11092055,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,Web,12/10/2024,In progress,Yes
11092060,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,ALLY FINANCIAL INC.,NY,Web,12/10/2024,In progress,Yes
11092063,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,"EQUIFAX, INC.",CA,Web,12/10/2024,In progress,Yes
11092076,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",PA,Web,12/10/2024,In progress,Yes
11092078,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,Experian Information Solutions Inc.,CA,Web,12/10/2024,In progress,Yes
11092079,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,"EQUIFAX, INC.",LA,Web,12/10/2024,In progress,Yes
10903747,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,CT,Web,11/23/2024,In progress,Yes
10903752,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,PR,Web,11/23/2024,In progress,Yes
11092080,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,"EQUIFAX, INC.",NC,Web,12/10/2024,In progress,Yes
11092081,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,"EQUIFAX, INC.",CA,Web,12/10/2024,In progress,Yes
11092085,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,GA,Web,12/10/2024,In progress,Yes
10904125,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,Experian Information Solutions Inc.,AL,Web,11/23/2024,In progress,Yes
10904128,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,NC,Web,11/23/2024,In progress,Yes
10904147,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,NC,Web,11/23/2024,In progress,Yes
4348187,5/4/2021,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MO,Phone,5/4/2021,Closed with explanation,Yes
10903806,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,LEXISNEXIS,MD,Web,11/23/2024,Closed with explanation,Yes
10903808,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,MD,Web,11/23/2024,In progress,Yes
10903810,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,PR,Web,11/23/2024,In progress,Yes
4471667,6/18/2021,Mortgage,FHA mortgage,Struggling to pay mortgage,,"I am a borrower who is in forbearance due to the Covid virus. Quicken loans has consistently communicated false information to me about my options. FHA loans have a maximum forbearance of 18 months. During my last "" check in '' with Quicken Loans the customer service rep informed me that I only had 15 months and that FHA will not exten d forbearance beyond 15 months. I was on my last month. I had to inform her she was not correct. After a long conversation, she checked with her supervisor and agreed that it was in fact 18 months. What is sad is all the people she spoke to before me and gave struggling people "" wrong information '' PLEASE PLEASE train your employee 's with the correct information Quicken ... Those 3 months ( that she was unaware of ) could help a struggling family","Rocket Mortgage, LLC",OH,Web,6/18/2021,Closed with explanation,Yes
4330038,4/27/2021,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"Dear Sir/Madam : I am a victim of Identity Theft. The information listed below, which appears on my credit report, does not relate to any transaction ( s ) that I have made. It is the result of Identity Theft.","EQUIFAX, INC.",AL,Web,4/27/2021,Closed with explanation,Yes
4608908,8/6/2021,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,"I.C. System, Inc.",TX,Web,8/6/2021,Closed with explanation,Yes
4608734,8/6/2021,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,"CAINE & WEINER COMPANY, INC.",TX,Web,8/6/2021,Closed with explanation,Yes
4608679,8/6/2021,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MN,Web,8/6/2021,Closed with explanation,Yes
10903811,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Experian Information Solutions Inc.,CA,Web,11/23/2024,In progress,Yes
10903779,11/22/2024,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,"Block, Inc.",KY,Phone,11/22/2024,Closed with explanation,Yes
10903781,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,LEXISNEXIS,CA,Web,11/23/2024,Closed with non-monetary relief,Yes
10903782,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,MD,Web,11/23/2024,In progress,Yes
4328546,4/26/2021,Credit card or prepaid card,General-purpose credit card or charge card,"Advertising and marketing, including promotional offers",Confusing or misleading advertising about the credit card,On XX/XX/2020 I applied for a pre approve offer with Capital one which I was approve.I was checking my credit reoprt ( s ) with XXXX and XXXX I noticed that this offer ended up being inquiry which it did impacting Capital One ad clearly states it wouldn't impact my credit score which it did. My XXXX score dropped by 10-15 points as did my XXXX score. I called Capital One they informed once submitted all personal information that was listed as credit card application which the ad didn't stipulate that on the pre-approve application. When I spoke with XXXX they informed me that matter would have to resolved through Capital one The add clearly states this is not application nor will it impact my credit score which is entirely untrue.MISLEADING ADVERTISM clear and simple!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,CAPITAL ONE FINANCIAL CORPORATION,IL,Web,4/26/2021,Closed with explanation,Yes
3809166,8/22/2020,Mortgage,Conventional home mortgage,Trouble during payment process,,,Specialized Loan Servicing Holdings LLC,GA,Web,8/31/2020,Closed with explanation,Yes
10903819,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,Experian Information Solutions Inc.,FL,Web,11/23/2024,In progress,Yes
10903824,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,Experian Information Solutions Inc.,TX,Web,11/23/2024,In progress,Yes
10903826,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Experian Information Solutions Inc.,IL,Web,11/23/2024,In progress,Yes
10903830,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,PR,Web,11/23/2024,In progress,Yes
10903832,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,FL,Web,11/23/2024,In progress,Yes
4474071,6/18/2021,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Investigation took more than 30 days,"The last complaint I submitted, I explained that I sent 2 letters regarding my with XX/XX/XXXX being the last date I sent letters to the bureaus accounts that are FALSELY reported and does NOT belong to me. I've called several times, sent in letters, and keep being told they haven't received any letters. Its been WELL over 60 days, how do I know the bureaus won't say this again to keep stringing this out longer and hindering me from being able to obtain the credit that I AM and SHOULD be eligible for? Again this is beyond frustrating when you can't get any answers or any progress updates besides being held off another 60 days. The credit bureaus are in violation of my rights per FCRA. This is false reporting and negligent of the credit bureaus. I won't continue to be overlooked and undermined about a serious matter. The bureaus will be hearing from my legal team to pursuit remedy and litigation! This matter should have been taken care of by now! Its been over 60 days and failure to investigate the items within 30-60 days, gives a reason to immediately remove incorrect items from my report! I will be taking action","TRANSUNION INTERMEDIATE HOLDINGS, INC.",CO,Web,6/18/2021,Closed with explanation,Yes
10897184,11/22/2024,Debt collection,Credit card debt,Written notification about debt,Didn't receive enough information to verify debt,,Resurgent Capital Services L.P.,CA,Web,11/22/2024,Closed with explanation,Yes
10899079,11/22/2024,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,Resurgent Capital Services L.P.,CA,Web,11/22/2024,Closed with explanation,Yes
4474292,6/18/2021,Checking or savings account,Checking account,Managing an account,Banking errors,"In XX/XX/2021, I was scammed out of {$420.00} dollars from someone promising me service but I never received the service promised. The person blocked me on social media and I couldnt get in contact with them.Ive tried reporting their account but was unsuccessful. I contacted XXXX XXXX about this situation first but they said there was nothing they could do about it. I then filed a dispute with my bank ( Wells Fargo ) hoping I could get the money or some money back but instead I was denied because the money was sent willingly. I have conversations between me and the other person as well for proof and also transactions.",WELLS FARGO & COMPANY,SC,Web,6/18/2021,Closed with explanation,Yes
11092150,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,"EQUIFAX, INC.",FL,Web,12/10/2024,In progress,Yes
3809039,8/22/2020,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,XX/XX/2019 Amount : {$2300.00} Action : I ASKED FOR THE AUTHENTIC CONTRACT OR APPLICATION THAT CREATED THIS DEBT ON FILE.,Experian Information Solutions Inc.,NY,Web,8/22/2020,Closed with explanation,Yes
11092167,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,"EQUIFAX, INC.",GA,Web,12/10/2024,In progress,Yes
10898672,11/22/2024,Debt collection,Credit card debt,Written notification about debt,Didn't receive notice of right to dispute,,Resurgent Capital Services L.P.,PA,Web,11/22/2024,Closed with non-monetary relief,Yes
4470264,6/17/2021,Debt collection,Medical debt,Communication tactics,Frequent or repeated calls,"On XX/XX/21 I wrote a check for XXXX as a settlement to my account and mailed it to them. A couple days later I got another bill. So I called the man said he was gon na fix it for me and send me a receipt with the remaining balance. I guess with in the 2 days they got another Bill. I am behind on my medical debt from last year due to covid, and prior years due to high deductibles. So thats why I got another letter he stated. I asked him to mail me the receipt from the first one and send me the bill. So i could see everything in writing. He said ok and he would possibly call me back. Never got a receipt. They sent another bill, and sure kept calling. I talked to the next person and she was like oh there is a problem with your file. I said yeah, the guy was suppose to fix it and never sent me a receipt after another 15-20 minutes on the phone with this lady she was like I will make sure it gets taken care of. Never got a receipt. They keep calling. Again talked to another lady and she was like Ill make sure you get the receipt this time I am so sorry. The lady before hand marked me as refused to pay. Which was not the case. I wanted to see all the bills and the receipts in writing. So she apologized. And was like Ill get this out to you. Now today, I think it was a week ago. They called again. I called them back. Got a man. He was talking super slow. So i thought he was done, I said yeah I am still waiting for the receipt you guys are refusing to send me. He immediately snapped well let me finish. Did his little attempt to collect a debt spiel and hung up on me. So I dont know if they are fraud? Or trying to work me overtime? But I can not get a receipt. And they keep marking me a refusal to pay when they wont send me the information that I have requested at least 3 times. They say the same exact thing every time. Oh we will fix this and get you a receipt in the mail. And it never happens. I am not refusing to pay the debt, I am just making sure the company is being honest. If this company is being fraudulent and working against the laws. I believe a refund should be made.",Phoenix Financial Services LLC,ND,Web,6/17/2021,Closed with explanation,Yes
10904561,11/23/2024,Debt collection,Rental debt,Attempts to collect debt not owed,Debt is not yours,,"National Credit Systems,Inc.",OH,Web,11/23/2024,Closed with explanation,Yes
4459251,6/14/2021,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,I have received several unauthorised inquiries on my account since the beginning of the year I have asked for numerous times to get help to no Avail. There are also several clothes on authorised accounts which I try to get help with also to no Avail,Experian Information Solutions Inc.,SC,Web,6/14/2021,Closed with explanation,Yes
4473920,6/18/2021,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"I am a victim of identity theft. The following accounts were opened without my knowledge, consent or authority. I have no idea how the theft took place, nor do I have knowledge of the suspects. I did not receive any money, goods, or services as a result of the identity theft.",CAPITAL ONE FINANCIAL CORPORATION,NY,Web,6/24/2021,Closed with explanation,Yes
4470402,6/17/2021,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"I have disputed these inaccurate accounts that are reporting to my credit report for validation and all companies involved Collection Resources, XXXX, XXXX, and XXXX  have all verified them reporting as "" Accurate ''. I received a letter from Collection Resources on XX/XX/2021 showing the itemized information they are claiming as accurate and have an incorrect SS # listed under my personal information that is NOT mine! This false information can be someone else! See attached copy letter from Collection Resources and my credit report showing how they are reporting false/inaccurate information to XXXX, XXXX, and XXXX!","Collection Resources, Inc.",NM,Web,6/17/2021,Closed with explanation,Yes
3807736,8/21/2020,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,TN,Web,8/21/2020,Closed with explanation,Yes
10903765,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Experian Information Solutions Inc.,FL,Web,11/23/2024,In progress,Yes
10900699,11/22/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,LEXISNEXIS,IL,Web,11/22/2024,Closed with explanation,Yes
